"","State","Happiness","Trump.Vote","Population","StateName","State1","Stadium","Capacity","City","Year.opened","Type","Tenant","HomeWins","HomeGames","FranchiseValue","Attendence","WinPct"
"1","California",4,31.5,39776830,"California","CA","Oakland–Alameda County Coliseum",63026,"Oakland",1966,"Baseball","Oakland Athletics",35,81,1.02e+09,48.3,0.432098765432099
"2","California",4,31.5,39776830,"California","CA","Dodger Stadium",56000,"Los Angeles",1962,"Baseball","Los Angeles Dodgers",63,89,3e+09,82.5,0.707865168539326
"3","Colorado",5,43.3,5684203,"Colorado","CO","Coors Field",50445,"Denver",1995,"Baseball","Colorado Rockies",46,81,1.1e+09,68,0.567901234567901
"4","New York",2,36.5,19862512,"New York","NY","Yankee Stadium",50291,"Bronx",2009,"Baseball","New York Yankees",57,87,4e+09,82.3,0.655172413793103
"5","Texas",5,52.2,28704330,"Texas","TX","Globe Life Park",49115,"Arlington",1994,"Baseball","Texas Rangers",41,81,1.6e+09,56.3,0.506172839506173
"6","Arizona",5,48.1,7123898,"Arizona","AZ","Chase Field",49033,"Phoenix",1998,"Baseball","Arizona Diamondbacks",53,83,1.21e+09,52.7,0.63855421686747
"7","Maryland",2,33.9,6079602,"Maryland","MD","Oriole Park at Camden Yards",48876,"Baltimore",1992,"Baseball","Baltimore Orioles",46,81,1.2e+09,42.7,0.567901234567901
"8","Washington",3,36.8,7530552,"Washington","WA","Safeco Field",47116,"Seattle",1999,"Baseball","Seattle Mariners",40,81,1.45e+09,53,0.493827160493827
"9","Missouri",2,56.4,6135888,"Missouri","MO","Busch Stadium",46861,"St. Louis",2006,"Baseball","St. Louis Cardinals",44,81,1.9e+09,93.2,0.54320987654321
"10","California",4,31.5,39776830,"California","CA","Angel Stadium of Anaheim",45050,"Anaheim",1966,"Baseball","Los Angeles Angels",43,81,1.8e+09,82.5,0.530864197530864
"11","Pennsylvania",3,48.2,12823989,"Pennsylvania","PA","Citizens Bank Park",43647,"Philadelphia",2004,"Baseball","Philadelphia Phillies",39,81,1.7e+09,57.6,0.481481481481481
"12","California",4,31.5,39776830,"California","CA","Petco Park",46000,"San Diego",2004,"Baseball","San Diego Padres",43,81,1.27e+09,66.6,0.530864197530864
"13","Ohio",1,51.3,11694664,"Ohio","OH","Great American Ball Park",42059,"Cincinnati",2003,"Baseball","Cincinnati Reds",39,81,1.01e+09,42.2,0.481481481481481
